scenario_name,scenario_slug,description,month,baseline_income,baseline_expenses,baseline_profit,baseline_margin,projected_income,projected_expenses,projected_profit,projected_margin,risk_level,salary_expense,marketing_expense,infrastructure_expense,software_expense,other_content_expense,other_support_expense,marketing_budget_change_pct,dynamic_pricing_rollout_pct,new_pack_launches,cost_control_pct,salary_optimization_pct,market_demand_shock_pct,support_automation_pct,focus_top_market_pct
Dynamic Pricing Rollout,dynamic-pricing-rollout,Apply the pack pricing model to most of the catalog while keeping spend nearly flat.,2026-11,41277.78,32575.61,8702.17,21.08,47636.93,32905.64,14731.29,30.92,MEDIUM,18864.9,4551.4,2886.41,1206.59,3498.44,1580.9,2.0,85.0,0,2.0,0.0,2.0,4.0,4.0
Dynamic Pricing Rollout,dynamic-pricing-rollout,Apply the pack pricing model to most of the catalog while keeping spend nearly flat.,2026-12,42426.81,33557.9,8868.91,20.9,47968.39,33557.9,14410.49,30.04,MEDIUM,19382.57,4722.69,2997.19,1191.72,3629.64,1649.76,2.0,85.0,0,2.0,0.0,2.0,4.0,4.0
Growth Push,growth-push,Increase marketing and launch new packs while also rolling out dynamic pricing.,2026-07,42751.85,23846.76,18905.09,44.22,55882.06,25055.6,30826.45,55.16,LOW,12848.53,4066.02,2789.87,1182.04,3259.77,1131.0,12.0,80.0,2,1.5,0.0,5.0,3.0,8.0
Growth Push,growth-push,Increase marketing and launch new packs while also rolling out dynamic pricing.,2026-08,42459.58,30993.05,11466.52,27.01,55911.7,32634.85,23276.86,41.63,LOW,18162.88,4818.08,3173.95,1211.15,3807.36,1557.53,12.0,80.0,2,1.5,0.0,5.0,3.0,8.0
Growth Push,growth-push,Increase marketing and launch new packs while also rolling out dynamic pricing.,2026-09,41534.34,30778.83,10755.51,25.9,55304.9,32282.49,23022.41,41.63,LOW,17931.37,5001.44,2875.81,1202.82,3933.7,1598.67,12.0,80.0,2,1.5,0.0,5.0,3.0,8.0
Growth Push,growth-push,Increase marketing and launch new packs while also rolling out dynamic pricing.,2026-10,42991.61,33105.51,9886.1,23.0,56260.83,34895.02,21365.81,37.98,MEDIUM,19390.0,5325.77,3138.02,1265.6,4127.9,1739.52,12.0,80.0,2,1.5,0.0,5.0,3.0,8.0
Growth Push,growth-push,Increase marketing and launch new packs while also rolling out dynamic pricing.,2026-11,41277.78,32575.61,8702.17,21.08,55001.75,34160.58,20841.17,37.89,MEDIUM,19300.37,5222.54,3014.46,1245.19,3938.1,1686.95,12.0,80.0,2,1.5,0.0,5.0,3.0,8.0
Growth Push,growth-push,Increase marketing and launch new packs while also rolling out dynamic pricing.,2026-12,42426.81,33557.9,8868.91,20.9,55796.99,35282.36,20514.63,36.77,MEDIUM,19829.99,5419.09,3130.16,1229.85,4085.78,1760.42,12.0,80.0,2,1.5,0.0,5.0,3.0,8.0
AI Expansion,ai-expansion,Concentrate spend on the strongest scraper-driven AI and data opportunities.,2026-07,42751.85,23846.76,18905.09,44.22,56792.04,25632.24,31159.8,54.87,LOW,12818.08,4083.8,2856.96,1188.31,3467.49,1156.4,10.0,70.0,3,2.0,1.0,8.0,4.0,12.0
AI Expansion,ai-expansion,Concentrate spend on the strongest scraper-driven AI and data opportunities.,2026-08,42459.58,30993.05,11466.52,27.01,56872.76,33046.8,23825.96,41.89,LOW,18119.84,4839.15,3250.28,1217.57,4049.98,1592.51,10.0,70.0,3,2.0,1.0,8.0,4.0,12.0
AI Expansion,ai-expansion,Concentrate spend on the strongest scraper-driven AI and data opportunities.,2026-09,41534.34,30778.83,10755.51,25.9,55637.18,33134.4,22502.79,40.45,LOW,17888.88,5023.32,2944.97,1209.2,4184.37,1634.57,10.0,70.0,3,2.0,1.0,8.0,4.0,12.0
AI Expansion,ai-expansion,Concentrate spend on the strongest scraper-driven AI and data opportunities.,2026-10,42991.61,33105.51,9886.1,23.0,56937.07,35118.0,21819.08,38.32,MEDIUM,19344.05,5349.06,3213.48,1272.31,4390.94,1778.59,10.0,70.0,3,2.0,1.0,8.0,4.0,12.0
AI Expansion,ai-expansion,Concentrate spend on the strongest scraper-driven AI and data opportunities.,2026-11,41277.78,32575.61,8702.17,21.08,55418.82,34957.32,20461.5,36.92,MEDIUM,19254.63,5245.38,3086.95,1251.79,4189.05,1724.83,10.0,70.0,3,2.0,1.0,8.0,4.0,12.0
AI Expansion,ai-expansion,Concentrate spend on the strongest scraper-driven AI and data opportunities.,2026-12,42426.81,33557.9,8868.91,20.9,56462.03,35461.09,21000.94,37.19,MEDIUM,19783.0,5442.79,3205.43,1236.37,4346.14,1799.95,10.0,70.0,3,2.0,1.0,8.0,4.0,12.0
Efficiency Guardrail,efficiency-guardrail,"Protect margin by trimming overhead, automating support, and keeping growth moderate.",2026-07,42751.85,23846.76,18905.09,44.22,42983.01,22671.79,20311.22,47.25,LOW,11737.68,3327.09,2579.69,1080.01,2793.6,968.44,-4.0,45.0,0,8.0,5.0,-1.0,9.0,3.0
Efficiency Guardrail,efficiency-guardrail,"Protect margin by trimming overhead, automating support, and keeping growth moderate.",2026-08,42459.58,30993.05,11466.52,27.01,42956.49,29039.4,13917.1,32.4,LOW,16592.57,3942.48,2934.85,1106.61,3262.87,1333.67,-4.0,45.0,0,8.0,5.0,-1.0,9.0,3.0
Efficiency Guardrail,efficiency-guardrail,"Protect margin by trimming overhead, automating support, and keeping growth moderate.",2026-09,41534.34,30778.83,10755.51,25.9,42642.14,28817.4,13824.74,32.42,LOW,16381.08,4092.52,2659.16,1099.0,3371.15,1368.9,-4.0,45.0,0,8.0,5.0,-1.0,9.0,3.0
Efficiency Guardrail,efficiency-guardrail,"Protect margin by trimming overhead, automating support, and keeping growth moderate.",2026-10,42991.61,33105.51,9886.1,23.0,43193.88,30638.65,12555.24,29.07,MEDIUM,17713.59,4357.9,2901.62,1156.36,3537.58,1489.51,-4.0,45.0,0,8.0,5.0,-1.0,9.0,3.0
Efficiency Guardrail,efficiency-guardrail,"Protect margin by trimming overhead, automating support, and keeping growth moderate.",2026-11,41277.78,32575.61,8702.17,21.08,42686.57,30430.4,12256.17,28.71,MEDIUM,17631.72,4273.43,2787.37,1137.72,3374.92,1444.49,-4.0,45.0,0,8.0,5.0,-1.0,9.0,3.0
Efficiency Guardrail,efficiency-guardrail,"Protect margin by trimming overhead, automating support, and keeping growth moderate.",2026-12,42426.81,33557.9,8868.91,20.9,43204.31,31826.67,11377.64,26.33,MEDIUM,18115.55,4434.27,2894.35,1123.7,3501.48,1507.4,-4.0,45.0,0,8.0,5.0,-1.0,9.0,3.0
Market Slowdown Defense,market-slowdown-defense,Prepare for weaker demand by tightening costs and leaning on pricing discipline.,2026-07,42751.85,23846.76,18905.09,44.22,38708.98,22423.89,16285.09,42.07,LOW,11591.04,3191.64,2560.93,1063.33,2752.72,951.12,-8.0,65.0,0,10.0,6.0,-10.0,10.0,2.0
Market Slowdown Defense,market-slowdown-defense,Prepare for weaker demand by tightening costs and leaning on pricing discipline.,2026-08,42459.58,30993.05,11466.52,27.01,38770.1,28830.51,9939.59,25.64,MEDIUM,16385.28,3781.98,2913.5,1089.51,3215.13,1309.82,-8.0,65.0,0,10.0,6.0,-10.0,10.0,2.0
Market Slowdown Defense,market-slowdown-defense,Prepare for weaker demand by tightening costs and leaning on pricing discipline.,2026-09,41534.34,30778.83,10755.51,25.9,38361.08,28722.53,9638.55,25.13,MEDIUM,16176.43,3925.91,2639.82,1082.02,3321.82,1344.41,-8.0,65.0,0,10.0,6.0,-10.0,10.0,2.0
Market Slowdown Defense,market-slowdown-defense,Prepare for weaker demand by tightening costs and leaning on pricing discipline.,2026-10,42991.61,33105.51,9886.1,23.0,39195.94,30414.15,8781.79,22.4,MEDIUM,17492.3,4180.49,2880.51,1138.49,3485.81,1462.86,-8.0,65.0,0,10.0,6.0,-10.0,10.0,2.0
Market Slowdown Defense,market-slowdown-defense,Prepare for weaker demand by tightening costs and leaning on pricing discipline.,2026-11,41277.78,32575.61,8702.17,21.08,38304.2,30183.62,8120.58,21.2,MEDIUM,17411.45,4099.46,2767.09,1120.14,3325.53,1418.65,-8.0,65.0,0,10.0,6.0,-10.0,10.0,2.0
Market Slowdown Defense,market-slowdown-defense,Prepare for weaker demand by tightening costs and leaning on pricing discipline.,2026-12,42426.81,33557.9,8868.91,20.9,38932.2,31593.82,7338.38,18.85,MEDIUM,17889.23,4253.75,2873.3,1106.34,3450.24,1480.43,-8.0,65.0,0,10.0,6.0,-10.0,10.0,2.0
